#instr,model,trace_type,trace_name,IPC
1M,ALL-0.25x,clientservertraces,server_020.champsimtrace.xz,0.350121
1M,ALL-0.25x,clientservertraces,server_021.champsimtrace.xz,0.331971
1M,ALL-0.25x,clientservertraces,server_022.champsimtrace.xz,0.315876
1M,ALL-0.25x,clientservertraces,server_023.champsimtrace.xz,0.787469
1M,ALL-0.25x,clientservertraces,server_024.champsimtrace.xz,0.791819
1M,ALL-0.25x,clientservertraces,server_025.champsimtrace.xz,0.791442
1M,ALL-0.25x,clientservertraces,server_026.champsimtrace.xz,0.76674
1M,ALL-0.25x,clientservertraces,server_027.champsimtrace.xz,0.774307
1M,ALL-0.25x,clientservertraces,server_028.champsimtrace.xz,0.747138
1M,ALL-0.25x,clientservertraces,server_029.champsimtrace.xz,0.730953
1M,ALL-0.25x,clientservertraces,server_030.champsimtrace.xz,0.732546
1M,ALL-0.25x,clientservertraces,server_031.champsimtrace.xz,0.719359
1M,ALL-0.25x,clientservertraces,server_032.champsimtrace.xz,0.772422
1M,ALL-0.25x,clientservertraces,server_033.champsimtrace.xz,0.736151
1M,ALL-0.25x,clientservertraces,server_034.champsimtrace.xz,0.845737
1M,ALL-0.25x,clientservertraces,server_035.champsimtrace.xz,0.748753
1M,ALL-0.25x,clientservertraces,server_037.champsimtrace.xz,0.853289
1M,ALL-0.25x,clientservertraces,server_038.champsimtrace.xz,0.797068
1M,ALL-0.25x,spec17,600.perlbench_s-570B.champsimtrace.xz,1.31331
1M,ALL-0.25x,spec17,602.gcc_s-1850B.champsimtrace.xz,0.282927
1M,ALL-0.25x,spec17,602.gcc_s-2226B.champsimtrace.xz,0.107422
1M,ALL-0.25x,spec17,602.gcc_s-734B.champsimtrace.xz,0.483069
1M,ALL-0.25x,spec17,603.bwaves_s-1740B.champsimtrace.xz,0.748223
1M,ALL-0.25x,spec17,603.bwaves_s-2609B.champsimtrace.xz,0.739797
1M,ALL-0.25x,spec17,603.bwaves_s-2931B.champsimtrace.xz,1.0145
1M,ALL-0.25x,spec17,603.bwaves_s-891B.champsimtrace.xz,0.36906
1M,ALL-0.25x,spec17,605.mcf_s-1152B.champsimtrace.xz,0.33236
1M,ALL-0.25x,spec17,605.mcf_s-1536B.champsimtrace.xz,0.160876
1M,ALL-0.25x,spec17,605.mcf_s-1554B.champsimtrace.xz,0.143084
1M,ALL-0.25x,spec17,605.mcf_s-1644B.champsimtrace.xz,0.148654
1M,ALL-0.25x,spec17,605.mcf_s-472B.champsimtrace.xz,0.236685
1M,ALL-0.25x,spec17,605.mcf_s-484B.champsimtrace.xz,0.475368
1M,ALL-0.25x,spec17,605.mcf_s-665B.champsimtrace.xz,0.367847
1M,ALL-0.25x,spec17,605.mcf_s-782B.champsimtrace.xz,0.168696
1M,ALL-0.25x,spec17,605.mcf_s-994B.champsimtrace.xz,0.656222
1M,ALL-0.25x,spec17,607.cactuBSSN_s-2421B.champsimtrace.xz,1.39452
1M,ALL-0.25x,spec17,607.cactuBSSN_s-3477B.champsimtrace.xz,1.35245
1M,ALL-0.25x,spec17,607.cactuBSSN_s-4004B.champsimtrace.xz,1.33509
1M,ALL-0.25x,spec17,619.lbm_s-2676B.champsimtrace.xz,0.549786
1M,ALL-0.25x,spec17,619.lbm_s-2677B.champsimtrace.xz,0.450996
1M,ALL-0.25x,spec17,619.lbm_s-3766B.champsimtrace.xz,0.925153
1M,ALL-0.25x,spec17,619.lbm_s-4268B.champsimtrace.xz,0.433065
1M,ALL-0.25x,spec17,620.omnetpp_s-141B.champsimtrace.xz,0.323972
1M,ALL-0.25x,spec17,620.omnetpp_s-874B.champsimtrace.xz,0.358069
1M,ALL-0.25x,spec17,621.wrf_s-6673B.champsimtrace.xz,0.572949
1M,ALL-0.25x,spec17,621.wrf_s-8065B.champsimtrace.xz,0.245525
1M,ALL-0.25x,spec17,623.xalancbmk_s-10B.champsimtrace.xz,0.234985
1M,ALL-0.25x,spec17,623.xalancbmk_s-165B.champsimtrace.xz,0.448767
1M,ALL-0.25x,spec17,623.xalancbmk_s-202B.champsimtrace.xz,0.367809
1M,ALL-0.25x,spec17,628.pop2_s-17B.champsimtrace.xz,1.16645
1M,ALL-0.25x,spec17,641.leela_s-1083B.champsimtrace.xz,0.786921
1M,ALL-0.25x,spec17,649.fotonik3d_s-10881B.champsimtrace.xz,0.509508
1M,ALL-0.25x,spec17,649.fotonik3d_s-1176B.champsimtrace.xz,0.921232
1M,ALL-0.25x,spec17,649.fotonik3d_s-7084B.champsimtrace.xz,0.739436
1M,ALL-0.25x,spec17,649.fotonik3d_s-8225B.champsimtrace.xz,0.918836
1M,ALL-0.25x,spec17,654.roms_s-1007B.champsimtrace.xz,1.17672
1M,ALL-0.25x,spec17,654.roms_s-1070B.champsimtrace.xz,0.689804
1M,ALL-0.25x,spec17,654.roms_s-1390B.champsimtrace.xz,0.478228
1M,ALL-0.25x,spec17,654.roms_s-1613B.champsimtrace.xz,1.45106
1M,ALL-0.25x,spec17,654.roms_s-293B.champsimtrace.xz,1.61428
1M,ALL-0.25x,spec17,654.roms_s-294B.champsimtrace.xz,0.865373
1M,ALL-0.25x,spec17,654.roms_s-523B.champsimtrace.xz,0.597658
1M,ALL-0.25x,spec17,657.xz_s-2302B.champsimtrace.xz,0.689201
1M,ALL-0.5x,clientservertraces,client_001.champsimtrace.xz,0.963928
1M,ALL-0.5x,clientservertraces,client_002.champsimtrace.xz,0.744588
1M,ALL-0.5x,clientservertraces,client_003.champsimtrace.xz,1.35086
1M,ALL-0.5x,clientservertraces,client_004.champsimtrace.xz,0.675625
1M,ALL-0.5x,clientservertraces,client_005.champsimtrace.xz,0.773287
1M,ALL-0.5x,clientservertraces,client_006.champsimtrace.xz,0.606853
1M,ALL-0.5x,clientservertraces,client_007.champsimtrace.xz,0.809901
1M,ALL-0.5x,clientservertraces,client_008.champsimtrace.xz,0.885378
1M,ALL-0.5x,clientservertraces,server_001.champsimtrace.xz,0.801212
1M,ALL-0.5x,clientservertraces,server_003.champsimtrace.xz,0.509448
1M,ALL-0.5x,clientservertraces,server_004.champsimtrace.xz,0.632842
1M,ALL-0.5x,clientservertraces,server_009.champsimtrace.xz,0.59396
1M,ALL-0.5x,clientservertraces,server_010.champsimtrace.xz,0.678287
1M,ALL-0.5x,clientservertraces,server_011.champsimtrace.xz,0.564046
1M,ALL-0.5x,clientservertraces,server_012.champsimtrace.xz,0.614649
1M,ALL-0.5x,clientservertraces,server_013.champsimtrace.xz,0.629592
1M,ALL-0.5x,clientservertraces,server_014.champsimtrace.xz,1.2336
1M,ALL-0.5x,clientservertraces,server_016.champsimtrace.xz,0.764411
1M,ALL-0.5x,clientservertraces,server_017.champsimtrace.xz,0.353981
1M,ALL-0.5x,clientservertraces,server_018.champsimtrace.xz,0.341437
1M,ALL-0.5x,clientservertraces,server_019.champsimtrace.xz,0.36778
1M,ALL-0.5x,clientservertraces,server_020.champsimtrace.xz,0.350121
1M,ALL-0.5x,clientservertraces,server_021.champsimtrace.xz,0.331971
1M,ALL-0.5x,clientservertraces,server_022.champsimtrace.xz,0.315876
1M,ALL-0.5x,clientservertraces,server_023.champsimtrace.xz,0.787418
1M,ALL-0.5x,clientservertraces,server_024.champsimtrace.xz,0.791819
1M,ALL-0.5x,clientservertraces,server_025.champsimtrace.xz,0.791442
1M,ALL-0.5x,clientservertraces,server_026.champsimtrace.xz,0.76674
1M,ALL-0.5x,clientservertraces,server_027.champsimtrace.xz,0.774307
1M,ALL-0.5x,clientservertraces,server_028.champsimtrace.xz,0.747138
1M,ALL-0.5x,clientservertraces,server_029.champsimtrace.xz,0.731176
1M,ALL-0.5x,clientservertraces,server_030.champsimtrace.xz,0.732546
1M,ALL-0.5x,clientservertraces,server_031.champsimtrace.xz,0.719359
1M,ALL-0.5x,clientservertraces,server_032.champsimtrace.xz,0.772422
1M,ALL-0.5x,clientservertraces,server_033.champsimtrace.xz,0.736151
1M,ALL-0.5x,clientservertraces,server_034.champsimtrace.xz,0.845737
1M,ALL-0.5x,clientservertraces,server_035.champsimtrace.xz,0.748753
1M,ALL-0.5x,clientservertraces,server_037.champsimtrace.xz,0.853289
1M,ALL-0.5x,clientservertraces,server_038.champsimtrace.xz,0.797068
1M,ALL-0.5x,spec17,600.perlbench_s-570B.champsimtrace.xz,1.31331
1M,ALL-0.5x,spec17,602.gcc_s-1850B.champsimtrace.xz,0.282927
1M,ALL-0.5x,spec17,602.gcc_s-2226B.champsimtrace.xz,0.107422
1M,ALL-0.5x,spec17,602.gcc_s-734B.champsimtrace.xz,0.483069
1M,ALL-0.5x,spec17,603.bwaves_s-1740B.champsimtrace.xz,0.748223
1M,ALL-0.5x,spec17,603.bwaves_s-2609B.champsimtrace.xz,0.739797
1M,ALL-0.5x,spec17,603.bwaves_s-2931B.champsimtrace.xz,1.0145
1M,ALL-0.5x,spec17,603.bwaves_s-891B.champsimtrace.xz,0.36906
1M,ALL-0.5x,spec17,605.mcf_s-1152B.champsimtrace.xz,0.33236
1M,ALL-0.5x,spec17,605.mcf_s-1536B.champsimtrace.xz,0.160876
1M,ALL-0.5x,spec17,605.mcf_s-1554B.champsimtrace.xz,0.143084
1M,ALL-0.5x,spec17,605.mcf_s-1644B.champsimtrace.xz,0.148654
1M,ALL-0.5x,spec17,605.mcf_s-472B.champsimtrace.xz,0.236685
1M,ALL-0.5x,spec17,605.mcf_s-484B.champsimtrace.xz,0.475368
1M,ALL-0.5x,spec17,605.mcf_s-665B.champsimtrace.xz,0.367847
1M,ALL-0.5x,spec17,605.mcf_s-782B.champsimtrace.xz,0.168696
1M,ALL-0.5x,spec17,605.mcf_s-994B.champsimtrace.xz,0.656222
1M,ALL-0.5x,spec17,607.cactuBSSN_s-2421B.champsimtrace.xz,1.39452
1M,ALL-0.5x,spec17,607.cactuBSSN_s-3477B.champsimtrace.xz,1.35245
1M,ALL-0.5x,spec17,607.cactuBSSN_s-4004B.champsimtrace.xz,1.33509
1M,ALL-0.5x,spec17,619.lbm_s-2676B.champsimtrace.xz,0.549786
1M,ALL-0.5x,spec17,619.lbm_s-2677B.champsimtrace.xz,0.450996
1M,ALL-0.5x,spec17,619.lbm_s-3766B.champsimtrace.xz,0.925153
1M,ALL-0.5x,spec17,619.lbm_s-4268B.champsimtrace.xz,0.433065
1M,ALL-0.5x,spec17,620.omnetpp_s-141B.champsimtrace.xz,0.323972
1M,ALL-0.5x,spec17,620.omnetpp_s-874B.champsimtrace.xz,0.358069
1M,ALL-0.5x,spec17,621.wrf_s-6673B.champsimtrace.xz,0.572949
1M,ALL-0.5x,spec17,621.wrf_s-8065B.champsimtrace.xz,0.245525
1M,ALL-0.5x,spec17,623.xalancbmk_s-10B.champsimtrace.xz,0.234985
1M,ALL-0.5x,spec17,623.xalancbmk_s-165B.champsimtrace.xz,0.448767
1M,ALL-0.5x,spec17,623.xalancbmk_s-202B.champsimtrace.xz,0.367809
1M,ALL-0.5x,spec17,628.pop2_s-17B.champsimtrace.xz,1.16645
1M,ALL-0.5x,spec17,641.leela_s-1083B.champsimtrace.xz,0.786921
1M,ALL-0.5x,spec17,649.fotonik3d_s-10881B.champsimtrace.xz,0.509508
1M,ALL-0.5x,spec17,649.fotonik3d_s-1176B.champsimtrace.xz,0.921232
1M,ALL-0.5x,spec17,649.fotonik3d_s-7084B.champsimtrace.xz,0.739436
1M,ALL-0.5x,spec17,649.fotonik3d_s-8225B.champsimtrace.xz,0.918836
1M,ALL-0.5x,spec17,654.roms_s-1007B.champsimtrace.xz,1.17672
1M,ALL-0.5x,spec17,654.roms_s-1070B.champsimtrace.xz,0.689804
1M,ALL-0.5x,spec17,654.roms_s-1390B.champsimtrace.xz,0.478228
1M,ALL-0.5x,spec17,654.roms_s-1613B.champsimtrace.xz,1.45106
1M,ALL-0.5x,spec17,654.roms_s-293B.champsimtrace.xz,1.61428
1M,ALL-0.5x,spec17,654.roms_s-294B.champsimtrace.xz,0.865373
1M,ALL-0.5x,spec17,654.roms_s-523B.champsimtrace.xz,0.597658
1M,ALL-0.5x,spec17,657.xz_s-2302B.champsimtrace.xz,0.689201
1M,ALL-1x,clientservertraces,client_001.champsimtrace.xz,0.963928
1M,ALL-1x,clientservertraces,client_002.champsimtrace.xz,0.744588
1M,ALL-1x,clientservertraces,client_003.champsimtrace.xz,1.35086
1M,ALL-1x,clientservertraces,client_004.champsimtrace.xz,0.675625
1M,ALL-1x,clientservertraces,client_005.champsimtrace.xz,0.773287
1M,ALL-1x,clientservertraces,client_006.champsimtrace.xz,0.606853
1M,ALL-1x,clientservertraces,client_007.champsimtrace.xz,0.809901
1M,ALL-1x,clientservertraces,client_008.champsimtrace.xz,0.885378
1M,ALL-1x,clientservertraces,server_001.champsimtrace.xz,0.801212
1M,ALL-1x,clientservertraces,server_003.champsimtrace.xz,0.509448
1M,ALL-1x,clientservertraces,server_004.champsimtrace.xz,0.632842
1M,ALL-1x,clientservertraces,server_009.champsimtrace.xz,0.59396
1M,ALL-1x,clientservertraces,server_010.champsimtrace.xz,0.678287
1M,ALL-1x,clientservertraces,server_011.champsimtrace.xz,0.564046
1M,ALL-1x,clientservertraces,server_012.champsimtrace.xz,0.614649
1M,ALL-1x,clientservertraces,server_013.champsimtrace.xz,0.629592
1M,ALL-1x,clientservertraces,server_014.champsimtrace.xz,1.2336
1M,ALL-1x,clientservertraces,server_016.champsimtrace.xz,0.764411
1M,ALL-1x,clientservertraces,server_017.champsimtrace.xz,0.353981
1M,ALL-1x,clientservertraces,server_018.champsimtrace.xz,0.341437
1M,ALL-1x,clientservertraces,server_019.champsimtrace.xz,0.36778
1M,ALL-1x,clientservertraces,server_020.champsimtrace.xz,0.350121
1M,ALL-1x,clientservertraces,server_021.champsimtrace.xz,0.331971
1M,ALL-1x,clientservertraces,server_022.champsimtrace.xz,0.315876
1M,ALL-1x,clientservertraces,server_023.champsimtrace.xz,0.787418
1M,ALL-1x,clientservertraces,server_024.champsimtrace.xz,0.791819
1M,ALL-1x,clientservertraces,server_025.champsimtrace.xz,0.791442
1M,ALL-1x,clientservertraces,server_026.champsimtrace.xz,0.76674
1M,ALL-1x,clientservertraces,server_027.champsimtrace.xz,0.774307
1M,ALL-1x,clientservertraces,server_028.champsimtrace.xz,0.747138
1M,ALL-1x,clientservertraces,server_029.champsimtrace.xz,0.731176
1M,ALL-1x,clientservertraces,server_030.champsimtrace.xz,0.732546
1M,ALL-1x,clientservertraces,server_031.champsimtrace.xz,0.719359
1M,ALL-1x,clientservertraces,server_032.champsimtrace.xz,0.772422
1M,ALL-1x,clientservertraces,server_033.champsimtrace.xz,0.736151
1M,ALL-1x,clientservertraces,server_034.champsimtrace.xz,0.845737
1M,ALL-1x,clientservertraces,server_035.champsimtrace.xz,0.748753
1M,ALL-1x,clientservertraces,server_037.champsimtrace.xz,0.853289
1M,ALL-1x,clientservertraces,server_038.champsimtrace.xz,0.797068
1M,ALL-1x,spec17,600.perlbench_s-570B.champsimtrace.xz,1.31331
1M,ALL-1x,spec17,602.gcc_s-1850B.champsimtrace.xz,0.282927
1M,ALL-1x,spec17,602.gcc_s-2226B.champsimtrace.xz,0.107422
1M,ALL-1x,spec17,602.gcc_s-734B.champsimtrace.xz,0.483069
1M,ALL-1x,spec17,603.bwaves_s-1740B.champsimtrace.xz,0.748223
1M,ALL-1x,spec17,603.bwaves_s-2609B.champsimtrace.xz,0.739797
1M,ALL-1x,spec17,603.bwaves_s-2931B.champsimtrace.xz,1.0145
1M,ALL-1x,spec17,603.bwaves_s-891B.champsimtrace.xz,0.36906
1M,ALL-1x,spec17,605.mcf_s-1152B.champsimtrace.xz,0.33236
1M,ALL-1x,spec17,605.mcf_s-1536B.champsimtrace.xz,0.160876
1M,ALL-1x,spec17,605.mcf_s-1554B.champsimtrace.xz,0.143084
1M,ALL-1x,spec17,605.mcf_s-1644B.champsimtrace.xz,0.148654
1M,ALL-1x,spec17,605.mcf_s-472B.champsimtrace.xz,0.236685
1M,ALL-1x,spec17,605.mcf_s-484B.champsimtrace.xz,0.475368
1M,ALL-1x,spec17,605.mcf_s-665B.champsimtrace.xz,0.367847
1M,ALL-1x,spec17,605.mcf_s-782B.champsimtrace.xz,0.168696
1M,ALL-1x,spec17,605.mcf_s-994B.champsimtrace.xz,0.656222
1M,ALL-1x,spec17,607.cactuBSSN_s-2421B.champsimtrace.xz,1.39452
1M,ALL-1x,spec17,607.cactuBSSN_s-3477B.champsimtrace.xz,1.35245
1M,ALL-1x,spec17,607.cactuBSSN_s-4004B.champsimtrace.xz,1.33509
1M,ALL-1x,spec17,619.lbm_s-2676B.champsimtrace.xz,0.549786
1M,ALL-1x,spec17,619.lbm_s-2677B.champsimtrace.xz,0.450996
1M,ALL-1x,spec17,619.lbm_s-3766B.champsimtrace.xz,0.925153
1M,ALL-1x,spec17,619.lbm_s-4268B.champsimtrace.xz,0.433065
1M,ALL-1x,spec17,620.omnetpp_s-141B.champsimtrace.xz,0.323972
1M,ALL-1x,spec17,620.omnetpp_s-874B.champsimtrace.xz,0.358069
1M,ALL-1x,spec17,621.wrf_s-6673B.champsimtrace.xz,0.572949
1M,ALL-1x,spec17,621.wrf_s-8065B.champsimtrace.xz,0.245525
1M,ALL-1x,spec17,623.xalancbmk_s-10B.champsimtrace.xz,0.234985
1M,ALL-1x,spec17,623.xalancbmk_s-165B.champsimtrace.xz,0.448767
1M,ALL-1x,spec17,623.xalancbmk_s-202B.champsimtrace.xz,0.367809
1M,ALL-1x,spec17,628.pop2_s-17B.champsimtrace.xz,1.16645
1M,ALL-1x,spec17,641.leela_s-1083B.champsimtrace.xz,0.786921
1M,ALL-1x,spec17,649.fotonik3d_s-10881B.champsimtrace.xz,0.509508
1M,ALL-1x,spec17,649.fotonik3d_s-1176B.champsimtrace.xz,0.921232
1M,ALL-1x,spec17,649.fotonik3d_s-7084B.champsimtrace.xz,0.739436
1M,ALL-1x,spec17,649.fotonik3d_s-8225B.champsimtrace.xz,0.918836
1M,ALL-1x,spec17,654.roms_s-1007B.champsimtrace.xz,1.17672
1M,ALL-1x,spec17,654.roms_s-1070B.champsimtrace.xz,0.689804
1M,ALL-1x,spec17,654.roms_s-1390B.champsimtrace.xz,0.478228
1M,ALL-1x,spec17,654.roms_s-1613B.champsimtrace.xz,1.45106
1M,ALL-1x,spec17,654.roms_s-293B.champsimtrace.xz,1.61428
1M,ALL-1x,spec17,654.roms_s-294B.champsimtrace.xz,0.865373
1M,ALL-1x,spec17,654.roms_s-523B.champsimtrace.xz,0.597658
1M,ALL-1x,spec17,657.xz_s-2302B.champsimtrace.xz,0.689201
1M,baseline,clientservertraces,client_001.champsimtrace.xz,0.993061
1M,baseline,clientservertraces,client_002.champsimtrace.xz,0.769471
1M,baseline,clientservertraces,client_003.champsimtrace.xz,1.3515
1M,baseline,clientservertraces,client_004.champsimtrace.xz,0.682353
1M,baseline,clientservertraces,client_005.champsimtrace.xz,0.801463
1M,baseline,clientservertraces,client_006.champsimtrace.xz,0.614716
1M,baseline,clientservertraces,client_007.champsimtrace.xz,0.797274
1M,baseline,clientservertraces,client_008.champsimtrace.xz,0.895215
1M,baseline,clientservertraces,server_001.champsimtrace.xz,0.858469
1M,baseline,clientservertraces,server_003.champsimtrace.xz,0.55294
1M,baseline,clientservertraces,server_004.champsimtrace.xz,0.666299
1M,baseline,clientservertraces,server_009.champsimtrace.xz,0.642019
